model,mean_rmse_bp,max_rmse_bp,mean_mae_bp,max_mae_bp,hidden_nodes,scale,use_bias,encoder_activation,pca_init,epochs,restarts,best_seed,level_max_abs_corr,slope_max_abs_corr,curvature_max_abs_corr
PCA reconstruction,2.896889192773852,4.893734515330051,2.233906719529254,3.93965952895562,3,centered PCA,True,linear,True,0,0,,,,
Autoencoder 2 hidden nodes,6.968003750246681,9.106442105787039,5.505996735863321,7.158211616623119,2,center,True,tanh,True,2000,4,20044,0.9996288396734055,0.8719256052619659,0.8223013483217464
Autoencoder 3 hidden nodes,3.8001318664030905,5.424761071521629,2.918158618261374,4.226567252908289,3,center,True,tanh,True,2000,4,20045,0.9996314094591386,0.8889612627084638,0.8396113737583536
Autoencoder 4 hidden nodes,2.855448357909958,3.5898176369824286,2.1918507904142968,3.026269915555673,4,center,True,tanh,True,2000,4,20046,0.9996219909355853,0.8776322919175961,0.8282843618200195
Autoencoder raw no-bias tanh,47.79666396430883,52.26731289166846,37.39216893015333,42.278049518670976,3,none,False,tanh,False,2000,4,30042,0.8495811565655568,0.792528295281809,0.7514540218967106
Autoencoder standardize sensitivity,3.58451181672512,5.089987597441743,2.7817676505714046,4.053336221915652,3,standardize,True,tanh,True,2000,4,45042,0.9995785693383186,0.8806995534764651,0.8257436436217742
Autoencoder linear bottleneck,2.897099200968474,4.893727448329985,2.234007760137475,3.9397132468582376,3,center,True,linear,True,2000,4,50042,0.9998317918626263,0.8960259705971635,0.8466181516941819
