maturity,LSTM,VAR,Autoencoder,Trend-follow
2Y,-2.614929785661493,-0.19068736141906872,-0.545454545454545,1.4116777531411677
3Y,-2.575018477457502,-0.4020694752402073,-2.106430155210643,1.3466371027346635
5Y,-0.038433111603842975,-0.4153732446415375,-0.567627494456763,0.4567627494456772
7Y,-0.5402808573540278,-0.20029563932002922,-2.042128603104213,0.6496674057649666
10Y,2.2993348115299335,0.0835181079083518,2.645232815964523,0.7590539541759056
20Y,-0.35107169253510734,-0.5328898743532892,-0.46784922394678535,0.41019955654101964
