maturity,Autoencoder,Trend-follow,Always long,Always short
2Y,-0.545454545454545,1.4116777531411677,0.2838137472283815,-0.2838137472283815
3Y,-2.106430155210643,1.3466371027346635,0.36807095343680685,-0.36807095343680685
5Y,-0.567627494456763,0.4567627494456772,0.4390243902439026,-0.4390243902439026
7Y,-2.042128603104213,0.6496674057649666,0.46045824094604615,-0.46045824094604615
10Y,2.645232815964523,0.7590539541759056,0.47228381374722794,-0.47228381374722794
20Y,-0.46784922394678535,0.41019955654101964,0.48263118994826365,-0.48263118994826365
