,rmse_bp,mae_bp
2Y,1.9286158221389693,1.4292670618536527
3Y,2.7109445122648013,1.9930358114857938
5Y,2.2936100328408324,1.7518151639344108
7Y,3.083242627651476,2.3118767132284748
10Y,4.893734515330051,3.93965952895562
20Y,2.4711876464169804,1.9777860377175733
