,rmse_bp,mae_bp
2Y,3.8954014352388344,3.3945763049587163
3Y,3.9106283807449316,2.852475631175933
5Y,6.536276465510499,5.519915592266481
7Y,7.192803485707399,5.53168096894335
10Y,7.066343682495931,5.399751287486813
20Y,3.52361119869469,2.8412237916002274
