,Level,Slope 20Y-2Y,Curvature 2*10Y-2Y-20Y
Level,1.0,-9.655270064468633e-17,1.9305377693458756e-16
Slope 20Y-2Y,-9.655270064468633e-17,1.0,-1.2999778569193645e-16
Curvature 2*10Y-2Y-20Y,1.9305377693458756e-16,-1.2999778569193645e-16,1.0
