component,explained_variance,cumulative_variance
1,0.9645698625596448,0.9645698625596448
2,0.03413500031380461,0.9987048628734494
3,0.0010379825716652089,0.9997428454451146
4,0.00016357892697984997,0.9999064243720944
5,6.7504402605819e-05,0.9999739287747003
6,2.6071225299721006e-05,1.0
