model,mean_rmse_bp,max_rmse_bp,mean_mae_bp,max_mae_bp,scale,use_bias,encoder_activation,pca_init,three_factor_variance,mean_rmse_vs_pca_multiple
PCA reconstruction,2.896889192773852,4.893734515330051,2.233906719529254,3.93965952895562,centered PCA,True,linear,True,0.9997428454451146,1.0
Autoencoder reconstruction,5.354177441398714,7.192803485707399,4.256603929405254,5.53168096894335,center,True,tanh,True,,1.8482506872387274
