Date,2Y,3Y,5Y,7Y,10Y,20Y
1993-10-01,3.915719040737191,4.158646952853774,4.64377133676567,5.040131606874475,5.372440910167219,6.083757242896715
1993-10-08,3.841885098323861,4.077642929301833,4.5550528032497395,4.949407496271142,5.282944297618391,5.993561467864671
1993-10-15,3.8550293530083093,4.069687258945082,4.512083099575423,4.885997452554712,5.2020141838259715,5.891567311027208
1993-10-22,3.9694913710213098,4.231298696742629,4.727347300739669,5.117630519685754,5.432221507853987,6.11733039353148
1993-10-29,4.048073896274605,4.307499897227858,4.786208437176131,5.1582267664051145,5.4487546442217845,6.103386244514146
1993-11-05,4.259336956844368,4.556247365222548,5.076381371708297,5.460045018014917,5.746828770465376,6.400195798614183
1993-11-12,4.175858267650643,4.464158308253859,4.979463861675643,5.366032042322168,5.661448573894026,6.324601850249925
1993-11-19,4.293631562099495,4.592470538364028,5.12499360868492,5.521553077516565,5.824640607661726,6.503005227782884
1993-11-26,4.230908640728035,4.530191313968276,5.063025282116317,5.459451832590112,5.76254031640959,6.4376751992489485
1993-12-03,4.309413203105965,4.613540661082839,5.131258772106551,5.504734792528161,5.773914432353498,6.4030658814694075
1993-12-10,4.271230586872139,4.566547643886183,5.074439571590804,5.445081748781213,5.714937543696882,6.344668588378587
1993-12-17,4.262224086627999,4.577428352580641,5.11851601430931,5.508658089456567,5.795323228663923,6.4455065343166975
1993-12-24,4.23948694120411,4.527266633258437,5.0375144941524495,5.4186133525943845,5.706477498836042,6.361986121871629
1993-12-31,4.314656981334725,4.615277778850173,5.141719387264632,5.529206433115014,5.8190175054736155,6.478909930923143
1994-01-07,4.1551021422005086,4.454587828860854,4.986923859806441,5.382483758745202,5.684778189486982,6.354916176536241
1994-01-14,4.237279661998787,4.539660942302321,5.07073335477867,5.46190694790841,5.756342148608686,6.418734035232225
1994-01-21,4.1601293171501545,4.4653327581745135,5.003843115063094,5.40098337155343,5.702613210505964,6.371054849364915
1994-01-28,4.147514232502022,4.432333838687514,4.944786236973189,5.331455030260095,5.628873681849958,6.294101080634752
1994-02-04,4.493257292614022,4.781557452426528,5.273723886700057,5.63286928158761,5.889165854281904,6.51164146397368
1994-02-11,4.519301422939339,4.805410516009902,5.2878092987255085,5.637514390764245,5.881930804080488,6.488893708923021
1994-02-18,4.644878276691475,4.956614863620375,5.471036718578719,5.833117284593591,6.081067538089277,6.695039949157396
1994-02-25,4.792050250873604,5.098872434840773,5.601335333080672,5.954225339708337,6.19119021875334,6.797507009246507
1994-03-04,4.969495543346444,5.283847343669509,5.782529161663436,6.123389282045373,6.339301562137129,6.922761878707567
1994-03-11,5.0274903858757405,5.348102104411696,5.8538620931819905,6.196878232774743,6.412307476825239,6.9969050500179915
1994-03-18,5.106836804256478,5.429949772105788,5.923882530422591,6.250266828355798,6.441471791095259,6.994554004409471
1994-03-25,5.180345543727913,5.521780025706862,6.035178707332991,6.366293706712732,6.554555153674604,7.103911123016038
1994-04-01,5.289517887935677,5.655615102992629,6.191044138164901,6.52354196530343,6.701028799838545,7.236018857696214
1994-04-08,5.51343394170765,5.878004801021193,6.39891676733055,6.715782680330285,6.871439194507124,7.38634677860991
1994-04-15,5.586470373973885,5.927259695277785,6.421231554241561,6.73009828549386,6.885997271365644,7.4090332600857405
1994-04-22,5.706317910060921,6.004458439097975,6.432171867580794,6.705206908998498,6.832527375049116,7.327573261001268
1994-04-29,5.8074586475944905,6.118639480815505,6.556096599789046,6.82761911374093,6.9459318874545115,7.4307713124539045
1994-05-06,6.162500628337899,6.451954853282546,6.849438236446761,7.095513381776819,7.187676882571699,7.656260452010789
1994-05-13,6.094955214366951,6.3879754659992205,6.792971895428084,7.044356145677575,7.142402863330366,7.615493020751634
1994-05-20,5.861805209026375,6.113119613872145,6.4952924711421955,6.761569061098108,6.9014641998477,7.430616578796068
1994-05-27,6.036087521419564,6.263666641460036,6.613326833935164,6.864974775133142,6.9954783676333445,7.523893794753709
1994-06-03,5.91453290830616,6.143631708369826,6.490840004177474,6.737903871355066,6.862232422656538,7.375331840255418
1994-06-10,5.909126290187874,6.1431563017230975,6.50448899099388,6.763438978014001,6.901499485797407,7.433357677199998
1994-06-17,5.941069611415902,6.2006163713794695,6.596691654415511,6.87130431157113,7.017991995639326,7.559544763305345
1994-06-24,6.101459273204842,6.340471994624709,6.701645420284652,6.955502071199426,7.083039736575605,7.6084751698757795
1994-07-01,6.22648645292286,6.471592437968825,6.832440660686873,7.079819240388879,7.1948449371523875,7.707401714065233
1994-07-08,6.2772462452507405,6.534850847468947,6.9075074655727375,7.156352796373376,7.266984677142622,7.773575982787767
1994-07-15,6.096513756618538,6.353588115916823,6.731165216656112,6.986285247621545,7.106806969470503,7.618719300964036
1994-07-22,6.196167239055672,6.440331709132765,6.7926040155605305,7.0306492231464475,7.1336900947756785,7.627531966903367
1994-07-29,6.050766953334847,6.288823139415358,6.632910774441146,6.867247857866296,6.969148135013105,7.455080232360521
1994-08-05,6.237233647213021,6.477600109325026,6.814702318401717,7.038488426027307,7.123811220950605,7.594720325210252
1994-08-12,6.272630938396492,6.492406379924391,6.811823414059066,7.035412111101159,7.130228018588545,7.620215377547899
1994-08-19,6.276897200450936,6.480906736598586,6.789716766567611,7.016645231065759,7.123598551578047,7.634095391967454
1994-08-26,6.2420690144157795,6.4368903753620135,6.74242524930992,6.974747218904504,7.093674874133589,7.621343097427049
1994-09-02,6.2141382778740315,6.395765077815627,6.694286392422103,6.931607284364709,7.063874459094526,7.6117286298061995
1994-09-09,6.378927954540291,6.584311020122145,6.908949182720565,7.153511800584802,7.2830240486331,7.8310772988583235
1994-09-16,6.437055357799569,6.6457927343708025,6.974482343883895,7.220532216844568,7.350064968890669,7.900492629745164
1994-09-23,6.536045559749642,6.740420829997634,7.0492640001491536,7.27608160000802,7.3810727356143015,7.901698789336839
1994-09-30,6.627641686306038,6.8248932478290545,7.116772220821761,7.330607452211389,7.42090246660185,7.92608614895598
1994-10-07,6.6537251556969075,6.863698494182204,7.174639747829818,7.398376025972375,7.495740866488935,8.01027723286406
1994-10-14,6.59120059858326,6.799538147197341,7.105726288051986,7.325383224306115,7.41841337663603,7.923811397292772
1994-10-21,6.791907318935433,6.99354792808113,7.283257053585433,7.490172662553796,7.567937826938154,8.062483987548509
1994-10-28,6.7964770878410725,7.008590948329543,7.30223183462181,7.503207483110437,7.567826723880293,8.041761359908739
1994-11-04,7.010746249065438,7.224725734935378,7.513165043087386,7.706201114473352,7.757817482776167,8.223379811980882
1994-11-11,7.037262686595955,7.2275562403064715,7.4864445192531575,7.6682200811481565,7.715910887546064,8.181211194732347
1994-11-18,7.182024248943367,7.35081578467903,7.565681503506087,7.716756858644494,7.732405400104048,8.162303409316698
1994-11-25,7.162843951091805,7.284544002757643,7.43202977010765,7.550327577409753,7.544563269443037,7.95061965916411
1994-12-02,7.378802546367684,7.435242664561843,7.490580604763411,7.565134324846277,7.530438160724165,7.916728934981981
1994-12-09,7.468827017650643,7.500732433543776,7.514358566494368,7.564015903291711,7.506949162311079,7.869611940124193
1994-12-16,7.519168146953621,7.539130699382399,7.536639259548568,7.579192199525842,7.517982697314741,7.879239520766893
1994-12-23,7.6470239246941,7.654148590312575,7.616470859737777,7.630073823747644,7.5350970981783885,7.856109580733934
1994-12-30,7.612129935131112,7.612952244029616,7.583983944149398,7.614389934358606,7.545431828326704,7.903448304870286
1995-01-06,7.568248518810311,7.6194300768238055,7.634064243526839,7.665409602937707,7.573584294147016,7.887594661452928
1995-01-13,7.341672667369881,7.389306080089186,7.429277466030501,7.494362153825769,7.451354002780439,7.825261792876878
