,LSTM,LSTM,LSTM,LSTM,LSTM,LSTM,VAR,VAR,VAR,VAR,VAR,VAR,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Trend-follow,Trend-follow,Trend-follow,Trend-follow,Trend-follow,Trend-follow
,2Y,3Y,5Y,7Y,10Y,20Y,2Y,3Y,5Y,7Y,10Y,20Y,2Y,3Y,5Y,7Y,10Y,20Y,2Y,3Y,5Y,7Y,10Y,20Y
Date,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-02,26.999999999999957,27.000000000000046,24.00000000000002,-16.999999999999993,-13.999999999999968,-6.00000000000005,26.999999999999957,27.000000000000046,24.00000000000002,16.999999999999993,13.999999999999968,6.00000000000005,-26.999999999999957,-27.000000000000046,-24.00000000000002,-16.999999999999993,13.999999999999968,-6.00000000000005,26.999999999999957,27.000000000000046,24.00000000000002,16.999999999999993,13.999999999999968,6.00000000000005
1998-01-09,-20.999999999999996,-22.999999999999954,26.000000000000068,24.00000000000002,21.999999999999975,22.000000000000064,20.999999999999996,22.999999999999954,26.000000000000068,24.00000000000002,21.999999999999975,22.000000000000064,20.999999999999996,22.999999999999954,26.000000000000068,24.00000000000002,21.999999999999975,22.000000000000064,-20.999999999999996,-22.999999999999954,-26.000000000000068,-24.00000000000002,-21.999999999999975,-22.000000000000064
1998-01-16,-1.0000000000000675,-1.0000000000000675,-2.000000000000046,-0.0,-4.999999999999982,4.999999999999982,-1.0000000000000675,-1.0000000000000675,-2.000000000000046,0.0,4.999999999999982,4.999999999999982,-1.0000000000000675,1.0000000000000675,2.000000000000046,0.0,4.999999999999982,4.999999999999982,1.0000000000000675,1.0000000000000675,2.000000000000046,-0.0,-4.999999999999982,4.999999999999982
1998-01-23,0.9999999999999787,3.000000000000025,4.0000000000000036,-8.999999999999986,-16.000000000000014,-11.000000000000032,0.9999999999999787,3.000000000000025,4.0000000000000036,8.999999999999986,16.000000000000014,-11.000000000000032,0.9999999999999787,-3.000000000000025,-4.0000000000000036,8.999999999999986,16.000000000000014,-11.000000000000032,-0.9999999999999787,-3.000000000000025,-4.0000000000000036,-8.999999999999986,-16.000000000000014,-11.000000000000032
1998-01-30,-22.999999999999954,-20.000000000000018,20.000000000000018,16.000000000000014,8.999999999999986,11.000000000000032,-22.999999999999954,-20.000000000000018,-20.000000000000018,-16.000000000000014,-8.999999999999986,-11.000000000000032,22.999999999999954,20.000000000000018,20.000000000000018,16.000000000000014,-8.999999999999986,11.000000000000032,-22.999999999999954,-20.000000000000018,-20.000000000000018,-16.000000000000014,-8.999999999999986,-11.000000000000032
1998-02-06,-20.000000000000018,-16.000000000000014,-16.999999999999993,16.999999999999993,11.000000000000032,9.999999999999964,20.000000000000018,16.000000000000014,16.999999999999993,16.999999999999993,11.000000000000032,9.999999999999964,20.000000000000018,-16.000000000000014,16.999999999999993,-16.999999999999993,11.000000000000032,9.999999999999964,20.000000000000018,16.000000000000014,16.999999999999993,16.999999999999993,11.000000000000032,9.999999999999964
1998-02-13,-13.999999999999968,-12.99999999999999,-9.999999999999964,12.00000000000001,8.999999999999986,3.000000000000025,-13.999999999999968,-12.99999999999999,-9.999999999999964,-12.00000000000001,8.999999999999986,-3.000000000000025,-13.999999999999968,12.99999999999999,-9.999999999999964,-12.00000000000001,8.999999999999986,-3.000000000000025,-13.999999999999968,-12.99999999999999,-9.999999999999964,-12.00000000000001,-8.999999999999986,-3.000000000000025
1998-02-20,-10.999999999999943,-8.999999999999986,-6.99999999999994,5.999999999999961,3.000000000000025,2.000000000000046,-10.999999999999943,-8.999999999999986,-6.99999999999994,-5.999999999999961,-3.000000000000025,-2.000000000000046,-10.999999999999943,8.999999999999986,-6.99999999999994,-5.999999999999961,3.000000000000025,-2.000000000000046,10.999999999999943,8.999999999999986,6.99999999999994,5.999999999999961,3.000000000000025,2.000000000000046
1998-02-27,-8.000000000000007,-11.000000000000032,-8.000000000000007,8.000000000000007,5.999999999999961,4.0000000000000036,-8.000000000000007,-11.000000000000032,-8.000000000000007,-8.000000000000007,-5.999999999999961,-4.0000000000000036,-8.000000000000007,11.000000000000032,-8.000000000000007,-8.000000000000007,5.999999999999961,-4.0000000000000036,8.000000000000007,11.000000000000032,8.000000000000007,8.000000000000007,5.999999999999961,4.0000000000000036
1998-03-06,16.000000000000014,16.999999999999993,20.999999999999996,-24.00000000000002,-26.000000000000068,-24.00000000000002,16.000000000000014,16.999999999999993,20.999999999999996,24.00000000000002,26.000000000000068,24.00000000000002,16.000000000000014,-16.999999999999993,-20.999999999999996,24.00000000000002,-26.000000000000068,-24.00000000000002,-16.000000000000014,-16.999999999999993,-20.999999999999996,-24.00000000000002,-26.000000000000068,-24.00000000000002
1998-03-13,0.0,-2.999999999999936,-1.9999999999999574,-1.0000000000000675,0.9999999999999787,-0.0,0.0,-2.999999999999936,-1.9999999999999574,1.0000000000000675,-0.9999999999999787,0.0,0.0,2.999999999999936,-1.9999999999999574,1.0000000000000675,0.9999999999999787,0.0,0.0,-2.999999999999936,-1.9999999999999574,1.0000000000000675,-0.9999999999999787,0.0
1998-03-20,-2.000000000000046,-3.000000000000025,-1.0000000000000675,-0.0,1.9999999999999574,-0.0,-2.000000000000046,-3.000000000000025,-1.0000000000000675,0.0,-1.9999999999999574,0.0,-2.000000000000046,3.000000000000025,-1.0000000000000675,0.0,1.9999999999999574,0.0,2.000000000000046,3.000000000000025,1.0000000000000675,0.0,-1.9999999999999574,-0.0
1998-03-27,1.9999999999999574,4.0000000000000036,1.9999999999999574,-3.000000000000025,-0.9999999999999787,-1.0000000000000675,1.9999999999999574,4.0000000000000036,1.9999999999999574,3.000000000000025,0.9999999999999787,1.0000000000000675,-1.9999999999999574,4.0000000000000036,1.9999999999999574,3.000000000000025,-0.9999999999999787,1.0000000000000675,-1.9999999999999574,-4.0000000000000036,-1.9999999999999574,-3.000000000000025,-0.9999999999999787,-1.0000000000000675
1998-04-03,-16.999999999999993,-20.000000000000018,18.99999999999995,17.99999999999997,20.000000000000018,16.999999999999993,-16.999999999999993,-20.000000000000018,-18.99999999999995,-17.99999999999997,-20.000000000000018,-16.999999999999993,16.999999999999993,20.000000000000018,18.99999999999995,-17.99999999999997,20.000000000000018,-16.999999999999993,-16.999999999999993,-20.000000000000018,-18.99999999999995,-17.99999999999997,-20.000000000000018,-16.999999999999993
1998-04-10,-11.000000000000032,-12.00000000000001,-9.000000000000075,11.000000000000032,12.00000000000001,9.999999999999964,-11.000000000000032,-12.00000000000001,-9.000000000000075,-11.000000000000032,-12.00000000000001,-9.999999999999964,11.000000000000032,12.00000000000001,-9.000000000000075,-11.000000000000032,12.00000000000001,-9.999999999999964,11.000000000000032,12.00000000000001,9.000000000000075,11.000000000000032,12.00000000000001,9.999999999999964
1998-04-17,-8.999999999999986,-10.999999999999943,-9.999999999999964,12.00000000000001,8.999999999999986,9.999999999999964,-8.999999999999986,-10.999999999999943,-9.999999999999964,-12.00000000000001,-8.999999999999986,-9.999999999999964,-8.999999999999986,10.999999999999943,-9.999999999999964,-12.00000000000001,8.999999999999986,-9.999999999999964,8.999999999999986,10.999999999999943,9.999999999999964,12.00000000000001,8.999999999999986,9.999999999999964
1998-04-24,-1.9999999999999574,-0.9999999999999787,0.0,-0.0,-3.000000000000025,-2.999999999999936,-1.9999999999999574,-0.9999999999999787,0.0,0.0,3.000000000000025,2.999999999999936,-1.9999999999999574,0.9999999999999787,0.0,0.0,-3.000000000000025,2.999999999999936,1.9999999999999574,0.9999999999999787,-0.0,-0.0,-3.000000000000025,-2.999999999999936
1998-05-01,5.999999999999961,8.000000000000007,7.000000000000028,-8.999999999999986,-11.000000000000032,-11.999999999999922,5.999999999999961,8.000000000000007,7.000000000000028,8.999999999999986,11.000000000000032,11.999999999999922,-5.999999999999961,8.000000000000007,-7.000000000000028,8.999999999999986,-11.000000000000032,11.999999999999922,5.999999999999961,-8.000000000000007,7.000000000000028,-8.999999999999986,-11.000000000000032,-11.999999999999922
