,2Y,5Y,7Y,10Y,15Y,20Y
Level,5.62462043762207,7.745528697967529,8.6354398727417,8.671443939208984,8.900452613830566,8.469809532165527
Slope 20Y-2Y,-13.428645133972168,-7.5483174324035645,-2.506925582885742,2.5785062313079834,5.022220611572266,5.968167781829834
Curvature 2*10Y-2Y-20Y,-8.922124862670898,5.468533515930176,8.657970428466797,4.04015588760376,-4.620494842529297,-8.854571342468262
