,Level,Slope 20Y-2Y,Curvature 2*10Y-2Y-20Y
Level,1.0,-0.039495365871786314,-0.16422877919287276
Slope 20Y-2Y,-0.039495365871786314,1.0,0.07270694858307364
Curvature 2*10Y-2Y-20Y,-0.16422877919287276,0.07270694858307364,1.0
