maturity,Autoencoder,Trend-follow,Always long,Always short
2Y,-0.2512776831345827,0.3337308347529812,0.2788756388415665,-0.2788756388415665
5Y,-0.5679727427597955,0.020272572402044036,0.6417376490630319,-0.6417376490630319
7Y,-0.17614991482112413,-0.1645655877342418,0.8335604770017043,-0.8335604770017043
10Y,-0.2533219761499148,0.25928449744463344,0.9568994889267455,-0.9568994889267455
15Y,0.36141396933560493,-0.042163543441226234,1.0285349233390122,-1.0285349233390122
20Y,0.9241056218057923,0.46090289608177204,1.0712947189097104,-1.0712947189097104
