model,mean_rmse_bp,max_rmse_bp,mean_mae_bp,max_mae_bp,hidden_nodes,scale,use_bias,encoder_activation,pca_init,epochs,restarts,best_seed,level_max_abs_corr,slope_max_abs_corr,curvature_max_abs_corr
PCA reconstruction,3.0056312986786886,4.141833919841036,2.3339745339642124,3.3846328781729023,3,centered PCA,True,linear,True,0,0,,,,
Autoencoder 2 hidden nodes,7.571902520968513,9.31706362631264,6.162970689833947,7.830224024381674,2,center,True,tanh,True,2000,4,20044,0.9996894679313152,0.7165814483853937,0.7396514683578648
Autoencoder 3 hidden nodes,3.163278427313102,4.284815426678929,2.4370213769125644,3.5256139213155278,3,center,True,tanh,True,2000,4,20045,0.9996755707310133,0.7167727793799384,0.7405619898814298
Autoencoder 4 hidden nodes,2.2679618706966136,3.2276058412187765,1.5961056138415881,2.4095530867547845,4,center,True,tanh,True,2000,4,20046,0.9996535249883483,0.7173237873436771,0.7411100999279957
Autoencoder raw no-bias tanh,16.843512707155828,20.650541602082612,11.698570584637041,14.62295333603575,3,none,False,tanh,False,2000,4,30042,0.9010219689997288,0.9305139817543187,0.8696063687074296
Autoencoder standardize sensitivity,3.111273418286323,4.453152583895497,2.3913595518158997,3.670299777733694,3,standardize,True,tanh,True,2000,4,45042,0.99996408914805,0.720169247855132,0.7259964871300988
Autoencoder linear bottleneck,3.0056786204443457,4.141920000387927,2.333904739349276,3.3843931110429035,3,center,True,linear,True,2000,4,50042,0.999894230827882,0.710282208074384,0.7353132845447772
