component,explained_variance,cumulative_variance
1,0.9818640776078207,0.9818640776078207
2,0.014019754796549058,0.9958838324043697
3,0.003428439163576026,0.9993122715679458
4,0.00036627945219971626,0.9996785510201455
5,0.00021575158430696487,0.9998943026044524
6,0.00010569739554768353,1.0000000000000002
