,rmse_bp,mae_bp
2Y,1.4403163043005391,1.1640683369688523
5Y,2.833290296159571,2.1558730807592448
7Y,2.4895111785469033,1.8917640707691368
10Y,4.141833919841036,3.3846328781729023
15Y,3.630614676419148,2.6508446160762675
20Y,3.4982214168049373,2.7566642210388728
