,rmse_bp,mae_bp
2Y,8.03739359584693,5.836762246843598
5Y,10.59320794085781,7.502744327159993
7Y,9.06182188046349,6.106468588238489
10Y,10.69897492606152,8.691598308023517
15Y,10.66423266673803,8.212029831758679
20Y,10.6169906265277,7.452318763962808
