,LSTM,LSTM,LSTM,LSTM,LSTM,LSTM,VAR,VAR,VAR,VAR,VAR,VAR,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Trend-follow,Trend-follow,Trend-follow,Trend-follow,Trend-follow,Trend-follow
,2Y,5Y,7Y,10Y,15Y,20Y,2Y,5Y,7Y,10Y,15Y,20Y,2Y,5Y,7Y,10Y,15Y,20Y,2Y,5Y,7Y,10Y,15Y,20Y
Date,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-03,11.299999999999999,-20.699999999999985,-22.90000000000001,-19.600000000000016,-19.499999999999986,-18.80000000000002,-11.299999999999999,-20.699999999999985,-22.90000000000001,-19.600000000000016,-19.499999999999986,-18.80000000000002,11.299999999999999,-20.699999999999985,-22.90000000000001,19.600000000000016,-19.499999999999986,18.80000000000002,-11.299999999999999,-20.699999999999985,-22.90000000000001,-19.600000000000016,-19.499999999999986,-18.80000000000002
1997-01-10,7.699999999999996,-6.000000000000005,-10.80000000000001,-8.400000000000007,-10.200000000000031,-12.9,7.699999999999996,-6.000000000000005,-10.80000000000001,-8.400000000000007,-10.200000000000031,-12.9,-7.699999999999996,-6.000000000000005,-10.80000000000001,-8.400000000000007,-10.200000000000031,12.9,7.699999999999996,6.000000000000005,10.80000000000001,8.400000000000007,10.200000000000031,12.9
1997-01-17,7.799999999999995,-1.4000000000000012,-1.4000000000000234,-4.1999999999999815,-5.500000000000016,-10.500000000000043,7.799999999999995,-1.4000000000000012,-1.4000000000000234,-4.1999999999999815,-5.500000000000016,-10.500000000000043,-7.799999999999995,-1.4000000000000012,-1.4000000000000234,-4.1999999999999815,-5.500000000000016,10.500000000000043,-7.799999999999995,1.4000000000000012,1.4000000000000234,4.1999999999999815,5.500000000000016,10.500000000000043
1997-01-24,2.599999999999991,4.500000000000015,6.699999999999973,0.8000000000000007,2.200000000000024,-5.400000000000027,2.599999999999991,4.500000000000015,6.699999999999973,0.8000000000000007,2.200000000000024,-5.400000000000027,2.599999999999991,4.500000000000015,6.699999999999973,0.8000000000000007,2.200000000000024,5.400000000000027,2.599999999999991,-4.500000000000015,-6.699999999999973,-0.8000000000000007,-2.200000000000024,5.400000000000027
1997-01-31,-0.6999999999999895,2.499999999999991,3.699999999999992,2.0000000000000018,4.700000000000015,-0.5999999999999783,-0.6999999999999895,-2.499999999999991,-3.699999999999992,-2.0000000000000018,4.700000000000015,-0.5999999999999783,0.6999999999999895,2.499999999999991,3.699999999999992,2.0000000000000018,4.700000000000015,0.5999999999999783,-0.6999999999999895,2.499999999999991,-3.699999999999992,-2.0000000000000018,-4.700000000000015,0.5999999999999783
1997-02-07,-1.6000000000000014,-2.0000000000000018,1.5000000000000124,-0.8999999999999897,5.200000000000005,-0.19999999999997797,-1.6000000000000014,2.0000000000000018,-1.5000000000000124,0.8999999999999897,5.200000000000005,-0.19999999999997797,1.6000000000000014,-2.0000000000000018,1.5000000000000124,-0.8999999999999897,5.200000000000005,-0.19999999999997797,-1.6000000000000014,-2.0000000000000018,-1.5000000000000124,0.8999999999999897,-5.200000000000005,0.19999999999997797
1997-02-14,3.8000000000000034,-16.199999999999992,-19.299999999999983,-16.199999999999992,-12.799999999999967,-15.399999999999991,3.8000000000000034,16.199999999999992,19.299999999999983,16.199999999999992,-12.799999999999967,15.399999999999991,-3.8000000000000034,-16.199999999999992,-19.299999999999983,-16.199999999999992,-12.799999999999967,-15.399999999999991,-3.8000000000000034,-16.199999999999992,-19.299999999999983,-16.199999999999992,-12.799999999999967,-15.399999999999991
1997-02-21,-14.000000000000002,3.499999999999992,-7.200000000000006,-8.300000000000018,-6.000000000000005,-7.799999999999985,-14.000000000000002,-3.499999999999992,7.200000000000006,8.300000000000018,-6.000000000000005,7.799999999999985,14.000000000000002,3.499999999999992,-7.200000000000006,-8.300000000000018,-6.000000000000005,7.799999999999985,14.000000000000002,3.499999999999992,-7.200000000000006,-8.300000000000018,-6.000000000000005,7.799999999999985
