,Level,Slope 20Y-2Y,Curvature 2*10Y-2Y-20Y
Level,0.9995550978093989,0.7200477339220931,0.7433579387112508
Slope 20Y-2Y,-0.06778978735745159,0.6600637623606351,0.4387162563249621
Curvature 2*10Y-2Y-20Y,-0.1719616516702923,-0.07149899978766312,0.351122053422451
