Date,2Y,5Y,7Y,10Y,15Y,20Y
1992-07-03,3.805208444595337,4.349499225616455,4.810428142547607,5.155050754547119,5.623904705047607,5.699762344360352
1992-07-10,3.7414565086364746,4.335979461669922,4.8087239265441895,5.152626991271973,5.623837471008301,5.700685501098633
1992-07-17,3.723062038421631,4.283616542816162,4.74884557723999,5.101265907287598,5.578168869018555,5.664701461791992
1992-07-24,3.6701419353485107,4.213620185852051,4.678299427032471,5.048096179962158,5.540713310241699,5.645933628082275
1992-07-31,3.558713912963867,4.126262187957764,4.5954270362854,4.970839023590088,5.469387054443359,5.584671497344971
1992-08-07,3.5372045040130615,4.160656929016113,4.641170501708984,5.005695343017578,5.497237682342529,5.60212516784668
1992-08-14,3.318014621734619,3.9555609226226807,4.442249774932861,4.836201190948486,5.355723857879639,5.497701168060303
1992-08-21,3.2727627754211426,3.921649217605591,4.40999698638916,4.804630279541016,5.325031280517578,5.469640731811523
1992-08-28,3.370159387588501,3.9649360179901123,4.442422866821289,4.839417457580566,5.35942268371582,5.502799034118652
1992-09-04,3.5313680171966553,4.13431453704834,4.60070276260376,4.945281505584717,5.414288520812988,5.502786636352539
1992-09-11,3.501080274581909,4.105706691741943,4.573173522949219,4.9225945472717285,5.396252632141113,5.490564823150635
1992-09-18,3.4997870922088623,4.136160373687744,4.613087177276611,4.962822437286377,5.4394378662109375,5.5329389572143555
1992-09-25,3.447178840637207,4.072512626647949,4.547358512878418,4.9059576988220215,5.389954566955566,5.4944586753845215
1992-10-02,3.3791606426239014,4.017005443572998,4.495277404785156,4.860713005065918,5.351688385009766,5.465397834777832
1992-10-09,3.390526533126831,4.043630123138428,4.527577877044678,4.894720554351807,5.388940334320068,5.5029730796813965
1992-10-16,3.3854517936706543,4.030426979064941,4.510806560516357,4.875538349151611,5.366487503051758,5.478981971740723
1992-10-23,3.385368585586548,4.012491226196289,4.489009380340576,4.857382297515869,5.350619792938232,5.466954231262207
1992-10-30,3.350695848464966,3.982617139816284,4.461763858795166,4.837069988250732,5.337315082550049,5.461416244506836
1992-11-06,3.3570146560668945,4.018707752227783,4.5012898445129395,4.862162113189697,5.350010395050049,5.460056781768799
