,Level,Slope 20Y-2Y,Curvature 2*10Y-2Y-20Y
Node 1,-0.9071695829031364,-0.407456209169349,-0.622419059176126
Node 2,-0.9149250315928852,-0.915503473358737,-0.8781913926727487
Node 3,-0.6335662441873202,-0.7016922636639277,-0.3396344945830432
